Subtype	Cluster	Cell	Score	Celltype
Lep	Lep_ST_P8_1_Cluster2	Ciliated	1.00327914330099e-05	Epithelial
Lep	Lep_ST_P8_1_Cluster2	Adventitial Fibroblast	0.000147692889967125	Stroma
Lep	Lep_ST_P8_1_Cluster2	Alveolar Fibroblast	0.00013398551169814	Stroma
Lep	Lep_ST_P8_1_Cluster2	Lipofibroblast	4.44976699047937e-05	Stroma
Lep	Lep_ST_P8_1_Cluster2	Mesothelial	0	Stroma
Lep	Lep_ST_P8_1_Cluster2	Capillary Intermediate 1	4.90210612704886e-06	Endothelial
Lep	Lep_ST_P8_1_Cluster2	Capillary Intermediate 2	0.00625333935673342	Endothelial
Lep	Lep_ST_P8_1_Cluster2	Vascular Smooth Muscle	0.00017216052269561	Stroma
Lep	Lep_ST_P8_1_Cluster2	Mucous	0.00874865278885985	Epithelial
Lep	Lep_ST_P8_1_Cluster2	Proliferating NK/T	0.0186860604769174	Immune
Lep	Lep_ST_P8_1_Cluster2	Natural Killer T	0.00972097908199561	Immune
Lep	Lep_ST_P8_1_Cluster2	OLR1+ Classical Monocyte	0.000150071106554993	Immune
Lep	Lep_ST_P8_1_Cluster2	Intermediate Monocyte	0.000155953900633098	Immune
Lep	Lep_ST_P8_1_Cluster2	Basophil/Mast 2	0.000137978507227999	Immune
Lep	Lep_ST_P8_1_Cluster2	Signaling Alveolar Epithelial Type 2	0.0139406516491533	Epithelial
Lep	Lep_ST_P8_1_Cluster2	Proximal Basal	0.000595113657804017	Epithelial
Lep	Lep_ST_P8_1_Cluster2	Neuroendocrine	2.10066818424312e-05	Epithelial
Lep	Lep_ST_P8_1_Cluster2	Fibromyocyte	0.00016528044206391	Stroma
Lep	Lep_ST_P8_1_Cluster2	Ionocyte	0.00236953374041156	Epithelial
Lep	Lep_ST_P8_1_Cluster2	Serous	0	Epithelial
Lep	Lep_ST_P8_1_Cluster2	Proximal Ciliated	0	Epithelial
Lep	Lep_ST_P8_1_Cluster2	Goblet	0.00103491343693514	Epithelial
Lep	Lep_ST_P8_1_Cluster2	Neutrophil	0.000175005964484942	Immune
Lep	Lep_ST_P8_1_Cluster2	Dendritic	0	Immune
MP	MP_ST_P7_Cluster6	CD4+ Memory/Effector T	0.00380767976412531	Immune
MP	MP_ST_P7_Cluster6	CD4+ Naive T	0.00318343250104929	Immune
MP	MP_ST_P7_Cluster6	CD8+ Memory/Effector T	0.00087961059409906	Immune
MP	MP_ST_P7_Cluster6	CD8+ Naive T	0.00185111270060078	Immune
MP	MP_ST_P7_Cluster6	Natural Killer	0.00405937865650013	Immune
MP	MP_ST_P7_Cluster6	Classical Monocyte	0.0047929826509252	Immune
MP	MP_ST_P7_Cluster6	Nonclassical Monocyte	0.000275333055779753	Immune
