CellName	Cluster	Score	Sample
Endothelial_Bronchial Vessel 1	S_Demo_Cluster4	0.011321352	Demo
Endothelial_Bronchial Vessel 1	S_Demo_Cluster5	0.009202049	Demo
Endothelial_Bronchial Vessel 1	S_Demo_Cluster6	0.01231844	Demo
Endothelial_Bronchial Vessel 1	S_Demo_Cluster7	0.003351701	Demo
Endothelial_Bronchial Vessel 1	PA_Demo_Cluster8	0.001539584	Demo
Endothelial_Bronchial Vessel 1	MP_Demo_Cluster9	0.010548309	Demo
Endothelial_Bronchial Vessel 2	MP_PA_Demo_Cluster0	0.001069846	Demo
Endothelial_Bronchial Vessel 2	PA_Demo_Cluster1	0.000914851	Demo
Endothelial_Bronchial Vessel 2	MP_Demo_Cluster2	0.000184408	Demo
Endothelial_Bronchial Vessel 2	S_Demo_Cluster3	0.006758034	Demo
Endothelial_Bronchial Vessel 2	S_Demo_Cluster4	0.009413787	Demo
Endothelial_Bronchial Vessel 2	S_Demo_Cluster5	0.000912591	Demo
Endothelial_Bronchial Vessel 2	S_Demo_Cluster6	0.002564683	Demo
Endothelial_Bronchial Vessel 2	S_Demo_Cluster7	0.00793159	Demo
Endothelial_Bronchial Vessel 2	PA_Demo_Cluster8	0.002381132	Demo
Endothelial_Bronchial Vessel 2	MP_Demo_Cluster9	0.000641359	Demo
Endothelial_Capillary	MP_PA_Demo_Cluster0	0.067867226	Demo
Endothelial_Capillary	PA_Demo_Cluster1	0.024993363	Demo
Endothelial_Capillary	MP_Demo_Cluster2	0.037422831	Demo
Endothelial_Capillary	S_Demo_Cluster3	0.055151995	Demo
Endothelial_Capillary	S_Demo_Cluster4	0.094909401	Demo
Endothelial_Capillary	S_Demo_Cluster5	0.008251565	Demo
Endothelial_Capillary	S_Demo_Cluster6	0.025084361	Demo
Endothelial_Capillary	S_Demo_Cluster7	0.01622506	Demo
Endothelial_Capillary	PA_Demo_Cluster8	0.048974529	Demo
Endothelial_Capillary	MP_Demo_Cluster9	0.041696607	Demo
